,Count of Crime,,,,
Month,Domestic Crime,Non-Domestic Crime,Crime against Persons,Crime against Property,Deceptive Crime
01/2015,3281,17664,7135,9038,1344
02/2015,2578,13821,5825,6492,1325
03/2015,3462,18220,7889,8779,1447
04/2015,3593,18134,7799,9332,1491
05/2015,4035,19673,9088,10211,1323
06/2015,3826,19357,8586,10295,1309
07/2015,3947,20285,8580,11201,1389
08/2015,3889,20929,8734,11482,1384
09/2015,3557,19568,8021,10691,1344
10/2015,3258,19837,7773,10864,1376
11/2015,3139,17452,6850,9874,1263
12/2015,3367,17779,6897,10857,1401
01/2016,3315,17437,7087,10089,1647
02/2016,3065,15678,6740,8485,1530
03/2016,3656,18396,8266,9829,1588
04/2016,3555,17615,7715,9480,1570
05/2016,3965,19582,8993,10685,1476
06/2016,4116,19957,9141,10942,1702
07/2016,4013,20843,8851,12339,1528
08/2016,4000,20918,8803,12642,1706
09/2016,3553,20140,8280,11984,1624
10/2016,3507,20249,8399,11970,1710
11/2016,3269,18477,7325,11407,1489
12/2016,3201,17190,6800,10531,1716
01/2017,3410,18726,7424,10910,1807
02/2017,2978,16335,6908,9137,1531
03/2017,3395,17174,7680,9276,1647
04/2017,3675,18021,8181,9925,1555
05/2017,3858,19525,8987,10671,1562
06/2017,3933,19933,8873,11475,1605
07/2017,4100,20773,9054,12059,1642
08/2017,3870,20864,8549,12440,1651
09/2017,3611,19235,8324,10920,1642
10/2017,3447,19472,8026,11487,1637
11/2017,3254,18248,7288,10881,1577
12/2017,3332,17768,7065,10702,1736
01/2018,3313,17214,7192,9660,1638
02/2018,2891,14462,6624,7546,1486
03/2018,3555,17677,7903,9400,1698
04/2018,3510,17633,7810,9636,1600
05/2018,4291,20445,9589,11033,1726
06/2018,4134,20109,8969,11383,1661
07/2018,4147,21120,9364,11778,1757
08/2018,4006,21457,8942,12263,1784
09/2018,3650,19453,8461,10813,1568
10/2018,3637,19205,8332,10833,1600
11/2018,3379,17304,7422,9664,1504
12/2018,3529,18463,7643,10686,1680
01/2019,3367,16338,7291,8525,1584
02/2019,3038,15386,6945,7945,1382
03/2019,3518,16918,7996,8427,1552
04/2019,3545,17479,8017,9011,1554
05/2019,4086,19568,9375,10127,1620
06/2019,3962,19647,9143,10531,1521
07/2019,4119,20740,9297,11204,1679
08/2019,3947,20462,8680,11268,1672
09/2019,3635,18810,8454,10072,1539
10/2019,3347,18346,7870,9995,1598
11/2019,3303,16648,7182,9042,1610
12/2019,3402,17385,7360,9800,1550
01/2020,3288,16576,7424,8541,1564
02/2020,3042,15131,6828,7840,1364
03/2020,3343,13375,6791,7122,1194
04/2020,2709,10181,4975,5932,1098
05/2020,3247,14327,6406,8154,1030
06/2020,3715,13891,7222,7663,1130
07/2020,3940,15655,7824,8610,1358
08/2020,3793,16081,7653,9131,1171
09/2020,3310,14595,6850,8079,1184
10/2020,3210,15199,6597,7973,2043
11/2020,3116,13486,5824,7165,2026
12/2020,3187,13270,5416,6614,2839
01/2021,3419,12664,5643,6409,2517
02/2021,2841,10195,5107,5041,1586
03/2021,3631,12291,6270,6302,1580
04/2021,3739,11661,6419,6342,1147
05/2021,4223,13425,7439,7283,1229
06/2021,4233,14432,7805,7756,1451
07/2021,4125,14940,7767,8547,1281
08/2021,4060,14264,7422,8369,1269
09/2021,3881,15211,7731,8697,1238
10/2021,3718,15477,7481,9209,1170
11/2021,3369,13879,6391,8480,1112
12/2021,3555,13561,6328,8532,1088
01/2022,3132,12086,5710,7390,1113
02/2022,2884,11972,5759,6878,898
03/2022,3439,14159,6906,8221,1075